Name,Country
Oshane Thomas,West Indies
Kesirick Williams,West Indies
Khary Pierre,West Indies
Hayden Walsh ,West Indies
Tamim Iqbal,Bangladesh
Litton Das,Bangladesh
Soumya Sarkar,Bangladesh
Mushfiqur Rahim,Bangladesh
Shakib AL Hassan,Bangladesh
Mahmudullah,Bangladesh
Mustafizur Rahman,Bangladesh
Sabbir Rahman,Bangladesh
Rubel Hossain,Bangladesh
Imrul Kayes,Bangladesh
